min,sec,index, time, tag_id, distance,times, interval,  absence
58,46,1,1, 0xbbee,189,1,1,0
58,47,1,2, 0xbbee,185,2,1,0
58,48,1,3, 0xbbee,186,3,1,0
58,49,1,4, 0xbbee,181,4,1,0
58,49,1,5, 0xbbee,182,5,1,0
58,51,1,6, 0xbbee,185,6,1,0
58,52,1,7, 0xbbff,1293,1,1,0
58,52,2,7, 0xbbee,178,7,1,0
58,53,1,8, 0xbbff,1302,2,1,0
58,53,2,8, 0xbbee,178,8,1,0
58,54,1,9, 0xbbdd,1165,1,2,0
58,54,2,9, 0xbbff,1293,3,1,0
58,54,3,9, 0xbbee,167,9,1,0
58,55,1,10, 0xbbff,1301,4,1,0
58,55,2,10, 0xbbee,192,10,1,0
58,56,1,11, 0xbbdd,1166,2,2,0
58,56,2,11, 0xbbff,1293,5,1,0
58,56,3,11, 0xbbee,175,11,1,0
58,57,1,12, 0xbbff,1302,6,1,0
58,57,2,12, 0xbbee,175,12,1,0
58,58,1,13, 0xbbdd,1161,3,2,0
58,58,2,13, 0xbbff,1291,7,1,0
58,58,3,13, 0xbbee,168,13,1,0
58,59,1,14, 0xbbff,1301,8,1,0
58,59,2,14, 0xbbee,179,14,1,0
59,0,1,15, 0xbbdd,1163,4,2,0
59,0,2,15, 0xbbff,1293,9,1,0
59,0,3,15, 0xbbee,169,15,1,0
59,0,1,16, 0xbbff,1303,10,1,0
59,0,2,16, 0xbbee,179,16,1,0
59,1,1,17, 0xcc11,521,1,2,0
59,1,2,17, 0xbbdd,1154,5,2,0
59,1,3,17, 0xbbff,1281,11,1,0
59,1,4,17, 0xbbee,185,17,1,0
59,2,1,18, 0xbbff,1297,12,1,0
59,2,2,18, 0xbbee,176,18,1,0
59,3,1,19, 0xbbcc,757,1,1,0
59,3,2,19, 0xcc11,495,2,2,0
59,3,3,19, 0xbbdd,1139,6,2,0
59,3,4,19, 0xbbff,1301,13,1,0
59,3,5,19, 0xbbee,177,19,1,0
59,4,1,20, 0xbbcc,773,2,1,0
59,4,2,20, 0xbbff,1292,14,1,0
59,4,3,20, 0xbbee,176,20,1,0
59,5,1,21, 0xbbcc,789,3,1,0
59,5,2,21, 0xcc11,499,3,2,0
59,5,3,21, 0xbbdd,1125,7,2,0
59,5,4,21, 0xbbff,1299,15,1,0
59,5,5,21, 0xbbee,190,21,1,0
59,6,1,22, 0xbbcc,760,4,1,0
59,6,2,22, 0xbbff,1290,16,1,0
59,6,3,22, 0xbbee,207,22,1,0
59,8,1,23, 0xbbaa,1176,1,1,0
59,8,2,23, 0xbbcc,785,5,1,0
59,8,3,23, 0xcc11,483,4,2,0
59,8,4,23, 0xbbdd,1144,8,2,0
59,8,5,23, 0xbbff,1295,17,1,0
59,8,6,23, 0xbbee,214,23,1,0
59,9,1,24, 0xbbaa,1175,2,1,0
59,9,2,24, 0xbbcc,791,6,1,0
59,9,3,24, 0xbbff,1281,18,1,0
59,9,4,24, 0xbbee,243,24,1,0
59,10,1,25, 0xbbaa,1182,3,1,0
59,10,2,25, 0xbbcc,777,7,1,0
59,10,3,25, 0xcc11,474,5,2,0
59,10,4,25, 0xbbdd,1131,9,2,0
59,10,5,25, 0xbbff,1295,19,1,0
59,10,6,25, 0xbbee,250,25,1,0
59,11,1,26, 0xbbaa,1188,4,1,0
59,11,2,26, 0xbbcc,763,8,1,0
59,11,3,26, 0xbbff,1276,20,1,0
59,11,4,26, 0xbbee,272,26,1,0
59,12,1,27, 0xbbaa,1184,5,1,0
59,12,2,27, 0xbbcc,777,9,1,0
59,12,3,27, 0xcc11,492,6,2,0
59,12,4,27, 0xbbdd,1115,10,2,0
59,12,5,27, 0xbbff,1280,21,1,0
59,12,6,27, 0xbbee,274,27,1,0
59,12,1,28, 0xbbaa,1174,6,1,0
59,12,2,28, 0xbbcc,749,10,1,0
59,12,3,28, 0xbbff,1261,22,1,0
59,12,4,28, 0xbbee,303,28,1,0
59,13,1,29, 0xbbaa,1176,7,1,0
59,13,2,29, 0xbbcc,772,11,1,0
59,13,3,29, 0xcc11,481,7,2,0
59,13,4,29, 0xbbdd,1114,11,2,0
59,13,5,29, 0xbbff,1260,23,1,0
59,13,6,29, 0xbbee,314,29,1,0
59,15,1,30, 0xbbaa,1177,8,1,0
59,15,2,30, 0xbbcc,762,12,1,0
59,15,3,30, 0xbbff,1245,24,1,0
59,15,4,30, 0xbbee,336,30,1,0
59,15,1,31, 0xbbaa,1182,9,1,0
59,15,2,31, 0xbbcc,768,13,1,0
59,15,3,31, 0xcc11,476,8,2,0
59,15,4,31, 0xbbdd,1100,12,2,0
59,15,5,31, 0xbbff,1241,25,1,0
59,15,6,31, 0xbbee,333,31,1,0
59,17,1,32, 0xcc22,822,1,2,0
59,17,2,32, 0xbbaa,1161,10,1,0
59,17,3,32, 0xbbcc,754,14,1,0
59,17,4,32, 0xbbff,1241,26,1,0
59,17,5,32, 0xbbee,355,32,1,0
59,18,1,33, 0xbbaa,1184,11,1,0
59,18,2,33, 0xbbcc,761,15,1,0
59,18,3,33, 0xcc11,474,9,2,0
59,18,4,33, 0xbbdd,1090,13,2,0
59,18,5,33, 0xbbff,1228,27,1,0
59,18,6,33, 0xbbee,367,33,1,0
59,19,1,34, 0xcc22,823,2,2,0
59,19,2,34, 0xbbaa,1161,12,1,0
59,19,3,34, 0xbbcc,731,16,1,0
59,19,4,34, 0xbbff,1220,28,1,0
59,19,5,34, 0xbbee,380,34,1,0
59,20,1,35, 0xbbaa,1183,13,1,0
59,20,2,35, 0xbbcc,769,17,1,0
59,20,3,35, 0xcc11,478,10,2,0
59,20,4,35, 0xbbdd,1085,14,2,0
59,20,5,35, 0xbbff,1207,29,1,0
59,20,6,35, 0xbbee,399,35,1,0
59,21,1,36, 0xcc22,818,3,2,0
59,21,2,36, 0xbbaa,1166,14,1,0
59,21,3,36, 0xbbcc,759,18,1,0
59,21,4,36, 0xbbff,1202,30,1,0
